ITR Id,2nd Trade Received Agreement Date,Lead Source,Approximate Gross Monthly household income,Service/Resolution Type 1.1,Service/Resolution Type 2.1,Service/Resolution Type 3.1,Service/Resolution Type 4.1,Service/Resolution Type 5.1,Service/Resolution Type 6.1,Financing Lender Used,Offered Client Financing,Agreed Client Financing,Approved For Financing,Financing Amount Approved,Clients first payment date,Net Net Resolution Costs,Rating
7324578,2024-12-05,Aged PI Free,12260,IRS Representation (3 Months Max),File 1040 tax return (no schedules),Currently Not Collectible (CNC) determination,Hardship determination and filing,Hardship re-evaluation support,Hardship compliance monitoring,,No,No,No,0.0,2024-12-18,14870.0,Tier 4
7695800,2024-12-30,Aged CBG HAP,14320,IRS Representation (3 Months Max),File 1040 tax return (no schedules),Installment Agreement setup and monitoring,Hardship determination and filing,Hardship re-evaluation support,Fresh Start SLIA compliance,,No,No,No,0.0,2025-01-11,19100.0,Tier 5
6649794,2024-12-20,Aged-PI,13390,IRS Representation (6 Months Max),File 1040 tax return with Schedule C and State tax return,Fresh Start SLIA submission and monitoring,Fresh Start SLIA submission and monitoring,,Fresh Start SLIA compliance,,No,No,No,0.0,2024-12-30,6160.0,Tier 5
7700989,2025-06-18,Aged 365 Legacy,8490,IRS Representation (3 Months Max),File 1040 tax return with Schedule C and State tax return,Partial Pay Installment Agreement (PPIA) setup,Currently Not Collectible (CNC) determination,Hardship re-evaluation support,Hardship compliance monitoring,,No,No,No,0.0,2025-06-29,7950.0,Tier 5
7474998,2025-01-12,Aged CBG HAP,2530,IRS Representation (3 Months Max),File 1040 tax return with Schedule C and State tax return,File 1040 tax return (no schedules),,,,,No,No,No,0.0,2025-01-26,1420.0,Tier 5
7946861,2024-08-21,FL Call,6780,IRS Representation (12 Months Max),File 1040 tax return with Schedule C and State tax return,File 1040 tax return (no schedules),,,,,No,No,No,0.0,2024-08-31,17210.0,Tier 4
7223954,2024-10-03,Aged-PI,8800,IRS Representation (6 Months Max),Analyze and submit IRS financials,Fresh Start SLIA submission and monitoring,Currently Not Collectible (CNC) determination,OIC follow-up and IRS negotiation,OIC final resolution,Monterey Tier C,Yes,Yes,No,0.0,2024-10-16,5060.0,Tier 3
9965205,2025-02-15,Aged-FL 60,6700,IRS Representation (6 Months Max),File 1040 tax return with Schedule C and State tax return,Fresh Start SLIA submission and monitoring,Fresh Start SLIA compliance review,Fresh Start SLIA renewal,Fresh Start SLIA compliance,Monterey Poss-Flip,Yes,Yes,Yes,620.0,2025-02-23,790.0,Tier 3
2554649,2024-07-05,PPC Call,4560,IRS Representation (3 Months Max),Analyze and submit IRS financials,File 1040 tax return (no schedules),,,,Monterey Poss-Flip,Yes,No,No,0.0,2024-07-16,3790.0,Tier 3
4040458,2024-06-05,DT Form DS,5440,IRS Representation (6 Months Max),File 1040 tax return with Schedule C and State tax return,Installment Agreement setup and monitoring,Partial Pay Installment Agreement (PPIA) setup,Fresh Start SLIA renewal,Hardship compliance monitoring,,No,No,No,0.0,2024-06-20,9910.0,Tier 4
1630697,2024-06-11,Aged PI Free,6320,IRS Representation (3 Months Max),Analyze and submit IRS financials,Currently Not Collectible (CNC) determination,Partial Pay Installment Agreement (PPIA) setup,CNC annual review,Hardship compliance monitoring,,No,No,No,0.0,2024-06-22,27100.0,Tier 4
7257827,2024-11-11,Website Call,2520,IRS Representation (3 Months Max),File 1040 tax return with Schedule C and State tax return,Fresh Start SLIA submission and monitoring,Fresh Start SLIA submission and monitoring,Fresh Start SLIA renewal,,,No,No,No,0.0,2024-11-22,12340.0,Tier 5
7687060,2025-06-16,CL Form,7640,IRS Representation (6 Months Max),File 1040 tax return and State tax return (no schedules),File 1040 tax return with Schedule C and State tax return,,,,,No,No,No,0.0,2025-06-24,2510.0,Tier 2
8448644,2024-10-29,Aged-PI,7050,IRS Representation (3 Months Max),File 1040X tax return (no schedules),File 1040 tax return with Schedule C and State tax return,,,,,No,No,No,0.0,2024-11-08,5470.0,Tier 5
4862279,2024-07-04,Aged 365 Legacy,4510,IRS Representation (6 Months Max),Analyze and submit IRS financials,Partial Pay Installment Agreement (PPIA) setup,Offer in Compromise (OIC) preparation,OIC follow-up and IRS negotiation,OIC final resolution,DecisionFI,Yes,Yes,Yes,4990.0,2024-07-07,7500.0,Tier 1
6224739,2024-12-27,FL Call,7590,IRS Representation (12 Months Max),Analyze and submit IRS financials,File 1040 tax return (no schedules),,,,Monterey Tier A,Yes,Yes,Yes,3120.0,2025-01-11,6240.0,Tier 3
4792419,2025-02-16,Aged 365 Legacy HAP,10470,IRS Representation (3 Months Max),Analyze and submit IRS financials,Partial Pay Installment Agreement (PPIA) setup,Offer in Compromise (OIC) preparation,Hardship re-evaluation support,Hardship compliance monitoring,,No,No,No,0.0,2025-03-01,13170.0,Tier 4
6211949,2025-01-03,Aged 365 Legacy HAP,2540,IRS Representation (3 Months Max),File 1040 tax return with Schedule C and State tax return,File 1040 tax return with Schedule C and State tax return,,,,,No,No,No,0.0,2025-01-12,6520.0,Tier 2
2774169,2025-06-20,CL Form,12780,IRS Representation (12 Months Max),File 1040 tax return with Schedule C and State tax return,Fresh Start SLIA submission and monitoring,Currently Not Collectible (CNC) determination,OIC follow-up and IRS negotiation,Hardship compliance monitoring,,No,No,No,0.0,2025-06-29,5600.0,Tier 5
6266919,2024-08-18,ATL Form,9510,IRS Representation (3 Months Max),Analyze and submit IRS financials,Fresh Start SLIA submission and monitoring,Fresh Start SLIA compliance review,,,,No,No,No,0.0,2024-08-21,13650.0,Tier 3
4667565,2024-09-15,CL Form,9450,IRS Representation (3 Months Max),File 1040 tax return and State tax return (no schedules),Fresh Start SLIA submission and monitoring,Fresh Start SLIA compliance review,Fresh Start SLIA renewal,Fresh Start SLIA compliance,DecisionFI,Yes,No,No,0.0,2024-09-20,49750.0,Tier 3
5189616,2025-03-23,Aged 365 Legacy HAP,9400,IRS Representation (12 Months Max),Analyze and submit IRS financials,File 1040 tax return (no schedules),,,,,No,No,No,0.0,2025-03-28,15560.0,Tier 4
7434977,2024-12-14,DT Form DS,7820,IRS Representation (12 Months Max),File 1040 tax return (no schedules),Fresh Start SLIA submission and monitoring,Fresh Start SLIA compliance review,,,,No,No,No,0.0,2024-12-18,9590.0,Tier 4
5972376,2024-11-23,Aged 365 Legacy HAP,4920,IRS Representation (12 Months Max),Analyze and submit IRS financials,Currently Not Collectible (CNC) determination,Partial Pay Installment Agreement (PPIA) setup,OIC follow-up and IRS negotiation,Hardship compliance monitoring,Monterey Poss-Flip,Yes,Yes,No,0.0,2024-11-28,16870.0,Tier 3
8350523,2024-08-28,PPC Call,3050,IRS Representation (6 Months Max),File 1040 tax return with Schedule C and State tax return,Fresh Start SLIA submission and monitoring,Fresh Start SLIA submission and monitoring,Fresh Start SLIA renewal,Fresh Start SLIA compliance,,No,No,No,0.0,2024-09-09,14520.0,Tier 4
2344309,2024-11-17,CL Form,6860,IRS Representation (12 Months Max),Analyze and submit IRS financials,Fresh Start SLIA submission and monitoring,Hardship determination and filing,Hardship re-evaluation support,Fresh Start SLIA compliance,,No,No,No,0.0,2024-11-22,18550.0,Tier 5
8345330,2024-06-17,Aged-FL 60,5360,IRS Representation (12 Months Max),File 1040X tax return (no schedules),Partial Pay Installment Agreement (PPIA) setup,Offer in Compromise (OIC) preparation,CNC annual review,OIC final resolution,,No,No,No,0.0,2024-06-25,7080.0,Tier 5
8065039,2025-04-06,Aged 365 Legacy HAP,3130,IRS Representation (3 Months Max),Analyze and submit IRS financials,Fresh Start SLIA submission and monitoring,Hardship determination and filing,Fresh Start SLIA renewal,OIC final resolution,Monterey Tier A,Yes,No,No,0.0,2025-04-17,17140.0,Tier 2
5298533,2025-01-13,Aged 365 Legacy,15430,IRS Representation (6 Months Max),File 1040 tax return (no schedules),File 1040 tax return with Schedule C and State tax return,,,,,No,No,No,0.0,2025-01-26,7420.0,Tier 4
2168980,2025-05-03,Aged DT U30,8490,IRS Representation (3 Months Max),File 1040X tax return (no schedules),Fresh Start SLIA submission and monitoring,Fresh Start SLIA submission and monitoring,Fresh Start SLIA renewal,Fresh Start SLIA compliance,,No,No,No,0.0,2025-05-09,32740.0,Tier 5
9441467,2024-09-24,Aged DT U30,4020,IRS Representation (6 Months Max),File 1040X tax return (no schedules),Installment Agreement setup and monitoring,Hardship determination and filing,CNC annual review,OIC final resolution,,No,No,No,0.0,2024-10-04,8160.0,Tier 4
5916224,2025-06-30,Aged CBG HAP,1770,IRS Representation (12 Months Max),File 1040 tax return and State tax return (no schedules),File 1040 tax return (no schedules),,,,,No,No,No,0.0,2025-07-03,20500.0,Tier 3
6378704,2025-01-19,CL Form,2850,IRS Representation (12 Months Max),File 1040 tax return (no schedules),Fresh Start SLIA submission and monitoring,Fresh Start SLIA submission and monitoring,,Fresh Start SLIA compliance,Monterey Poss-Flip,Yes,Yes,Yes,4110.0,2025-01-23,6980.0,Tier 3
9004382,2025-03-20,Aged 365 Legacy HAP,6750,IRS Representation (12 Months Max),Analyze and submit IRS financials,Fresh Start SLIA submission and monitoring,Fresh Start SLIA submission and monitoring,,,Flexxbuy,Yes,Yes,Yes,10930.0,2025-03-27,16020.0,Tier 3
9946351,2025-04-16,DT Form DS,4160,IRS Representation (12 Months Max),File 1040 tax return with Schedule C and State tax return,Currently Not Collectible (CNC) determination,Currently Not Collectible (CNC) determination,CNC annual review,OIC final resolution,Monterey Tier B,Yes,Yes,Yes,5570.0,2025-04-20,6400.0,Tier 3
3135411,2024-12-31,DT Form DS,2090,IRS Representation (3 Months Max),File 1040 tax return (no schedules),Fresh Start SLIA submission and monitoring,Fresh Start SLIA compliance review,,Fresh Start SLIA compliance,,No,No,No,0.0,2025-01-12,12370.0,Tier 4
5308988,2024-09-05,Aged DT U30,5850,IRS Representation (12 Months Max),File 1040 tax return (no schedules),File 1040 tax return with Schedule C and State tax return,,,,,No,No,No,0.0,2024-09-11,13560.0,Tier 4
8229670,2024-06-29,Aged-FL 60,4430,IRS Representation (6 Months Max),File 1040 tax return and State tax return (no schedules),Fresh Start SLIA submission and monitoring,Fresh Start SLIA compliance review,Fresh Start SLIA renewal,Fresh Start SLIA compliance,,No,No,No,0.0,2024-07-05,9760.0,Tier 5
5880196,2024-06-15,Aged 365 Legacy HAP,3780,IRS Representation (3 Months Max),File 1040X tax return (no schedules),File 1040 tax return (no schedules),,,,,No,No,No,0.0,2024-06-19,10210.0,Tier 4
7867459,2025-04-14,ATL Form,2190,IRS Representation (6 Months Max),Analyze and submit IRS financials,File 1040 tax return (no schedules),,,,AfterPay,Yes,Yes,Yes,14800.0,2025-04-22,24660.0,Tier 5
3674620,2024-10-11,Aged DT U30,6110,IRS Representation (6 Months Max),File 1040 tax return and State tax return (no schedules),Partial Pay Installment Agreement (PPIA) setup,Currently Not Collectible (CNC) determination,CNC annual review,Hardship compliance monitoring,,No,No,No,0.0,2024-10-17,6820.0,Tier 3
5736054,2025-01-07,CL Form,2450,IRS Representation (6 Months Max),File 1040 tax return with Schedule C and State tax return,Installment Agreement setup and monitoring,Penalty Abatement request,,,Monterey Tier C,Yes,Yes,Yes,1360.0,2025-01-10,1850.0,Tier 4
7357871,2024-11-26,Aged DT U30,4280,IRS Representation (6 Months Max),File 1040 tax return (no schedules),File 1040 tax return with Schedule C and State tax return,,,,,No,No,No,0.0,2024-12-06,12530.0,Tier 4
8382872,2025-05-03,Aged CBG HAP,10450,IRS Representation (6 Months Max),File 1040 tax return with Schedule C and State tax return,File 1040 tax return (no schedules),,,,DecisionFI,Yes,No,No,0.0,2025-05-10,6620.0,Tier 4
4262697,2025-03-07,ATL Form,11040,IRS Representation (12 Months Max),Analyze and submit IRS financials,File 1040 tax return with Schedule C and State tax return,,,,,No,No,No,0.0,2025-03-20,24740.0,Tier 5
7372398,2024-08-26,Aged PI Free,4520,IRS Representation (3 Months Max),File 1040 tax return with Schedule C and State tax return,Partial Pay Installment Agreement (PPIA) setup,Offer in Compromise (OIC) preparation,OIC follow-up and IRS negotiation,Fresh Start SLIA compliance,Monterey Poss-Flip,Yes,Yes,Yes,6010.0,2024-09-06,8890.0,Tier 2
6651356,2025-06-10,Aged 365 Legacy,660,IRS Representation (12 Months Max),Analyze and submit IRS financials,File 1040 tax return with Schedule C and State tax return,,,,Monterey Tier A,Yes,Yes,Yes,10550.0,2025-06-18,14430.0,Tier 4
4316133,2024-09-26,Aged CBG HAP,8030,IRS Representation (6 Months Max),File 1040X tax return (no schedules),Partial Pay Installment Agreement (PPIA) setup,Currently Not Collectible (CNC) determination,CNC annual review,OIC final resolution,,No,No,No,0.0,2024-10-03,8940.0,Tier 2
6794558,2025-04-23,ATL Form,2690,IRS Representation (6 Months Max),File 1040 tax return and State tax return (no schedules),Fresh Start SLIA submission and monitoring,Fresh Start SLIA submission and monitoring,Fresh Start SLIA renewal,Fresh Start SLIA compliance,Monterey Tier B,Yes,Yes,Yes,11380.0,2025-05-04,14900.0,Tier 4
1072331,2025-02-03,Aged-PI,1990,IRS Representation (6 Months Max),File 1040 tax return with Schedule C and State tax return,Installment Agreement setup and monitoring,Offer in Compromise (OIC) preparation,Fresh Start SLIA renewal,Hardship compliance monitoring,,No,No,No,0.0,2025-02-15,7840.0,Tier 3
6960763,2024-06-06,Aged-PI,7950,IRS Representation (6 Months Max),File 1040X tax return (no schedules),Currently Not Collectible (CNC) determination,Offer in Compromise (OIC) preparation,Hardship re-evaluation support,Hardship compliance monitoring,,No,No,No,0.0,2024-06-19,7070.0,Tier 3
5956011,2024-11-11,Aged-PI,1480,IRS Representation (3 Months Max),Analyze and submit IRS financials,File 1040 tax return (no schedules),,,,Monterey Tier B,Yes,No,No,0.0,2024-11-20,8300.0,Tier 3
4242649,2024-07-08,CL Form,7810,IRS Representation (12 Months Max),File 1040X tax return (no schedules),Currently Not Collectible (CNC) determination,Currently Not Collectible (CNC) determination,Fresh Start SLIA renewal,Hardship compliance monitoring,,No,No,No,0.0,2024-07-18,4080.0,Tier 4
3879957,2025-06-04,CL Form,8850,IRS Representation (12 Months Max),File 1040X tax return (no schedules),Currently Not Collectible (CNC) determination,Partial Pay Installment Agreement (PPIA) setup,CNC annual review,Fresh Start SLIA compliance,,No,No,No,0.0,2025-06-07,11710.0,Tier 2
5378570,2024-12-05,ATL Form,6810,IRS Representation (3 Months Max),File 1040 tax return (no schedules),Installment Agreement setup and monitoring,Hardship determination and filing,CNC annual review,OIC final resolution,DecisionFI,Yes,Yes,Yes,4540.0,2024-12-18,6380.0,Tier 3
7991279,2024-10-10,CL Form,5630,IRS Representation (3 Months Max),File 1040 tax return with Schedule C and State tax return,File 1040 tax return (no schedules),,,,Flexxbuy,Yes,No,No,0.0,2024-10-14,12810.0,Tier 5
4879506,2025-01-31,PPC Call,4570,IRS Representation (12 Months Max),File 1040 tax return and State tax return (no schedules),Currently Not Collectible (CNC) determination,Partial Pay Installment Agreement (PPIA) setup,Hardship re-evaluation support,Hardship compliance monitoring,,No,No,No,0.0,2025-02-15,23870.0,Tier 5
7849228,2025-05-09,CL Form,3590,IRS Representation (12 Months Max),File 1040X tax return (no schedules),Fresh Start SLIA submission and monitoring,Hardship determination and filing,Fresh Start SLIA renewal,Hardship compliance monitoring,DecisionFI,Yes,Yes,Yes,5580.0,2025-05-21,8560.0,Tier 3
6797138,2024-10-17,Aged 365 Legacy HAP,2430,IRS Representation (6 Months Max),Analyze and submit IRS financials,Currently Not Collectible (CNC) determination,Installment Agreement monitoring,,,Monterey Tier A,Yes,Yes,No,0.0,2024-10-20,14860.0,Tier 3
7709219,2024-12-11,Aged 365 Legacy HAP,22920,IRS Representation (12 Months Max),File 1040X tax return (no schedules),Installment Agreement setup and monitoring,Currently Not Collectible (CNC) determination,OIC follow-up and IRS negotiation,OIC final resolution,,No,No,No,0.0,2024-12-25,8280.0,Tier 3
1060704,2024-12-02,ATL Form,3680,IRS Representation (3 Months Max),File 1040 tax return with Schedule C and State tax return,File 1040 tax return (no schedules),,,,Monterey Tier A,Yes,Yes,Yes,3100.0,2024-12-10,5420.0,Tier 3
2884620,2024-09-02,Aged-PI,2700,IRS Representation (6 Months Max),File 1040 tax return and State tax return (no schedules),Currently Not Collectible (CNC) determination,Offer in Compromise (OIC) preparation,Hardship re-evaluation support,OIC final resolution,Monterey Tier A,Yes,No,No,0.0,2024-09-09,8040.0,Tier 4
9416395,2025-04-30,Aged DT U30,4630,IRS Representation (3 Months Max),File 1040 tax return and State tax return (no schedules),Installment Agreement setup and monitoring,Currently Not Collectible (CNC) determination,CNC annual review,OIC final resolution,,No,No,No,0.0,2025-05-13,80580.0,Tier 2
9921258,2025-06-19,CL Form,7150,IRS Representation (3 Months Max),File 1040 tax return (no schedules),File 1040 tax return with Schedule C and State tax return,,,,DecisionFI,Yes,Yes,Yes,4100.0,2025-06-28,7590.0,Tier 3
4397351,2025-05-12,Aged 365 Legacy HAP,9540,IRS Representation (6 Months Max),File 1040 tax return (no schedules),Currently Not Collectible (CNC) determination,Hardship determination and filing,OIC follow-up and IRS negotiation,Hardship compliance monitoring,Monterey Tier B,Yes,Yes,No,0.0,2025-05-20,7600.0,Tier 5
1021683,2024-11-20,Self Generated,4240,IRS Representation (6 Months Max),File 1040 tax return with Schedule C and State tax return,Fresh Start SLIA submission and monitoring,Fresh Start SLIA compliance review,Fresh Start SLIA renewal,,,No,No,No,0.0,2024-11-30,9200.0,Tier 2
9759386,2024-11-03,FL Call,4340,IRS Representation (3 Months Max),File 1040X tax return (no schedules),Fresh Start SLIA submission and monitoring,Fresh Start SLIA submission and monitoring,Fresh Start SLIA renewal,,,No,No,No,0.0,2024-11-13,6920.0,Tier 4
6209909,2024-10-21,Aged 365 Legacy HAP,2920,IRS Representation (12 Months Max),File 1040 tax return and State tax return (no schedules),File 1040 tax return (no schedules),,,,,No,No,No,0.0,2024-10-25,2890.0,Tier 4
3807829,2024-12-21,Aged 365 Legacy HAP,4160,IRS Representation (3 Months Max),File 1040 tax return (no schedules),Fresh Start SLIA submission and monitoring,Currently Not Collectible (CNC) determination,Fresh Start SLIA renewal,Fresh Start SLIA compliance,,No,No,No,0.0,2024-12-24,8350.0,Tier 3
9575102,2025-03-14,ATL Form,8630,IRS Representation (3 Months Max),File 1040 tax return (no schedules),Currently Not Collectible (CNC) determination,Installment Agreement monitoring,,,Monterey Tier B,Yes,Yes,Yes,4280.0,2025-03-25,6600.0,Tier 3
8451043,2024-08-26,Aged 365 Legacy HAP,4720,IRS Representation (12 Months Max),File 1040X tax return (no schedules),Currently Not Collectible (CNC) determination,Currently Not Collectible (CNC) determination,OIC follow-up and IRS negotiation,Hardship compliance monitoring,,No,No,No,0.0,2024-09-10,9940.0,Tier 3
4444304,2024-10-30,Aged 365 Legacy HAP,3870,IRS Representation (3 Months Max),Analyze and submit IRS financials,Currently Not Collectible (CNC) determination,Partial Pay Installment Agreement (PPIA) setup,Fresh Start SLIA renewal,Fresh Start SLIA compliance,,No,No,No,0.0,2024-11-12,6460.0,Tier 3
5427616,2024-11-11,Aged DT U30,5490,IRS Representation (6 Months Max),File 1040 tax return (no schedules),Currently Not Collectible (CNC) determination,,,,,No,No,No,0.0,2024-11-25,4590.0,Tier 3
7993367,2024-12-11,ATL Form,2960,IRS Representation (6 Months Max),File 1040X tax return (no schedules),Installment Agreement setup and monitoring,Currently Not Collectible (CNC) determination,OIC follow-up and IRS negotiation,Fresh Start SLIA compliance,,No,No,No,0.0,2024-12-23,11650.0,Tier 2
8852147,2025-03-23,Aged-PI,1210,IRS Representation (12 Months Max),File 1040 tax return and State tax return (no schedules),Fresh Start SLIA submission and monitoring,Offer in Compromise (OIC) preparation,OIC follow-up and IRS negotiation,OIC final resolution,,No,No,No,0.0,2025-03-26,7640.0,Tier 3
9909222,2025-06-04,Aged CBG HAP,3580,IRS Representation (12 Months Max),File 1040 tax return with Schedule C and State tax return,Installment Agreement setup and monitoring,Hardship determination and filing,OIC follow-up and IRS negotiation,Hardship compliance monitoring,Monterey Tier C,Yes,Yes,Yes,3160.0,2025-06-09,5540.0,Tier 3
5823510,2024-10-09,Aged CBG HAP,700,IRS Representation (6 Months Max),File 1040X tax return (no schedules),File 1040 tax return with Schedule C and State tax return,,,,Monterey Poss-Flip,Yes,No,No,0.0,2024-10-22,5940.0,Tier 5
4360218,2024-11-27,Aged CBG HAP,4140,IRS Representation (3 Months Max),File 1040 tax return (no schedules),Fresh Start SLIA submission and monitoring,Currently Not Collectible (CNC) determination,Fresh Start SLIA renewal,Hardship compliance monitoring,DecisionFI,Yes,No,No,0.0,2024-12-02,6160.0,Tier 3
1345908,2025-03-13,CL Form,6420,IRS Representation (12 Months Max),Analyze and submit IRS financials,File 1040 tax return (no schedules),,,,DecisionFI,Yes,Yes,Yes,5150.0,2025-03-24,7740.0,Tier 2
2764149,2025-03-11,Aged CBG HAP,9340,IRS Representation (3 Months Max),File 1040 tax return with Schedule C and State tax return,Fresh Start SLIA submission and monitoring,Fresh Start SLIA compliance review,,,,No,No,No,0.0,2025-03-15,14610.0,Tier 4
6159012,2024-12-02,Aged DT U30,6940,IRS Representation (3 Months Max),File 1040 tax return and State tax return (no schedules),Partial Pay Installment Agreement (PPIA) setup,Hardship determination and filing,Fresh Start SLIA renewal,OIC final resolution,,No,No,No,0.0,2024-12-13,12570.0,Tier 5
2267878,2025-05-18,Aged 365 Legacy HAP,5030,IRS Representation (6 Months Max),File 1040X tax return (no schedules),File 1040 tax return with Schedule C and State tax return,,,,,No,No,No,0.0,2025-05-24,60360.0,Tier 2
1536214,2025-06-22,Aged PI Free,2520,IRS Representation (3 Months Max),File 1040 tax return (no schedules),Partial Pay Installment Agreement (PPIA) setup,Currently Not Collectible (CNC) determination,Hardship re-evaluation support,Fresh Start SLIA compliance,,No,No,No,0.0,2025-06-28,16510.0,Tier 4
1978317,2025-05-05,ATL Form,2410,IRS Representation (12 Months Max),File 1040 tax return with Schedule C and State tax return,Partial Pay Installment Agreement (PPIA) setup,Partial Pay Installment Agreement (PPIA) setup,Hardship re-evaluation support,Fresh Start SLIA compliance,,No,No,No,0.0,2025-05-19,12040.0,Tier 2
7992289,2025-02-17,Aged 365 Legacy HAP,4290,IRS Representation (6 Months Max),File 1040 tax return and State tax return (no schedules),Partial Pay Installment Agreement (PPIA) setup,Currently Not Collectible (CNC) determination,Fresh Start SLIA renewal,OIC final resolution,,No,No,No,0.0,2025-02-25,27450.0,Tier 5
6028474,2024-10-09,Aged PI Free,2800,IRS Representation (6 Months Max),File 1040X tax return (no schedules),Partial Pay Installment Agreement (PPIA) setup,Currently Not Collectible (CNC) determination,OIC follow-up and IRS negotiation,Fresh Start SLIA compliance,,No,No,No,0.0,2024-10-24,9980.0,Tier 3
7194592,2025-03-10,CL Form,2630,IRS Representation (12 Months Max),File 1040X tax return (no schedules),File 1040 tax return (no schedules),,,,,No,No,No,0.0,2025-03-18,3720.0,Tier 4
5952173,2024-11-04,Aged DT U30,5060,IRS Representation (3 Months Max),File 1040 tax return (no schedules),Fresh Start SLIA submission and monitoring,Partial Pay Installment Agreement (PPIA) setup,Hardship re-evaluation support,OIC final resolution,DecisionFI,Yes,Yes,Yes,16380.0,2024-11-10,29110.0,Tier 3
4254845,2024-07-30,Aged DT U30,2830,IRS Representation (6 Months Max),File 1040 tax return and State tax return (no schedules),Installment Agreement setup and monitoring,Currently Not Collectible (CNC) determination,Hardship re-evaluation support,Fresh Start SLIA compliance,,No,No,No,0.0,2024-08-07,8360.0,Tier 2
2679592,2025-04-23,Aged CBG HAP,1510,IRS Representation (3 Months Max),File 1040 tax return (no schedules),File 1040 tax return (no schedules),,,,Monterey Tier B,Yes,Yes,Yes,4040.0,2025-05-08,4280.0,Tier 2
7621313,2025-05-22,Aged 365 Legacy HAP,4260,IRS Representation (3 Months Max),File 1040 tax return and State tax return (no schedules),Currently Not Collectible (CNC) determination,Hardship determination and filing,OIC follow-up and IRS negotiation,Hardship compliance monitoring,,No,No,No,0.0,2025-05-29,1410.0,Tier 3
7684823,2025-03-08,Aged-FL 60,2650,IRS Representation (3 Months Max),File 1040X tax return (no schedules),Fresh Start SLIA submission and monitoring,Fresh Start SLIA submission and monitoring,Fresh Start SLIA renewal,,,No,No,No,0.0,2025-03-19,9230.0,Tier 4
3889924,2024-07-24,CL Form,6880,IRS Representation (3 Months Max),File 1040X tax return (no schedules),File 1040 tax return (no schedules),,,,,No,No,No,0.0,2024-07-29,7690.0,Tier 4
5442638,2025-03-30,Aged DT U30,11400,IRS Representation (3 Months Max),Analyze and submit IRS financials,Fresh Start SLIA submission and monitoring,Partial Pay Installment Agreement (PPIA) setup,CNC annual review,Fresh Start SLIA compliance,Monterey Tier C,Yes,Yes,Yes,34050.0,2025-04-06,66730.0,Tier 3
8731315,2024-08-06,FL Call,8050,IRS Representation (3 Months Max),Analyze and submit IRS financials,Fresh Start SLIA submission and monitoring,Hardship determination and filing,OIC follow-up and IRS negotiation,Hardship compliance monitoring,Elevate Finance - Tier 5,Yes,Yes,No,0.0,2024-08-20,7670.0,Tier 3
6520657,2025-01-18,ATL Form,6530,IRS Representation (6 Months Max),File 1040X tax return (no schedules),File 1040 tax return (no schedules),,,,,No,No,No,0.0,2025-01-23,5700.0,Tier 4
3155346,2024-10-08,FL Call,11940,IRS Representation (12 Months Max),Analyze and submit IRS financials,File 1040 tax return with Schedule C and State tax return,,,,,No,No,No,0.0,2024-10-19,2650.0,Tier 1
3192171,2024-06-30,Aged CBG HAP,2600,IRS Representation (3 Months Max),File 1040 tax return with Schedule C and State tax return,Partial Pay Installment Agreement (PPIA) setup,Offer in Compromise (OIC) preparation,OIC follow-up and IRS negotiation,OIC final resolution,,No,No,No,0.0,2024-07-15,9300.0,Tier 4
8491840,2025-06-06,Aged 365 Legacy HAP,3380,IRS Representation (3 Months Max),File 1040 tax return and State tax return (no schedules),File 1040 tax return (no schedules),,,,,No,No,No,0.0,2025-06-17,11260.0,Tier 3
7526710,2025-06-17,PPC Call,5540,IRS Representation (6 Months Max),Analyze and submit IRS financials,Currently Not Collectible (CNC) determination,Offer in Compromise (OIC) preparation,OIC follow-up and IRS negotiation,Hardship compliance monitoring,,No,No,No,0.0,2025-07-02,6140.0,Tier 3
8015611,2024-10-26,Aged CBG HAP,3800,IRS Representation (3 Months Max),File 1040X tax return (no schedules),Currently Not Collectible (CNC) determination,Currently Not Collectible (CNC) determination,CNC annual review,OIC final resolution,,No,No,No,0.0,2024-10-31,5070.0,Tier 4
4000337,2025-01-12,Aged 365 Legacy HAP,5400,IRS Representation (12 Months Max),File 1040 tax return (no schedules),Fresh Start SLIA submission and monitoring,Partial Pay Installment Agreement (PPIA) setup,Fresh Start SLIA renewal,Fresh Start SLIA compliance,Monterey Tier A,Yes,No,No,0.0,2025-01-20,8560.0,Tier 3
7037099,2024-07-09,ATL Form,3840,IRS Representation (3 Months Max),Analyze and submit IRS financials,Partial Pay Installment Agreement (PPIA) setup,Hardship determination and filing,Fresh Start SLIA renewal,OIC final resolution,AfterPay,Yes,Yes,Yes,4530.0,2024-07-20,5870.0,Tier 4
5197117,2025-01-22,CL Form,4140,IRS Representation (12 Months Max),File 1040 tax return and State tax return (no schedules),Fresh Start SLIA submission and monitoring,Offer in Compromise (OIC) preparation,OIC follow-up and IRS negotiation,Hardship compliance monitoring,Elevate Finance - Tier 5,Yes,No,No,0.0,2025-02-01,8800.0,Tier 4
4483143,2024-11-16,FL Call,3720,IRS Representation (3 Months Max),File 1040 tax return (no schedules),Installment Agreement setup and monitoring,Partial Pay Installment Agreement (PPIA) setup,OIC follow-up and IRS negotiation,Fresh Start SLIA compliance,Monterey Tier C,Yes,Yes,Yes,15680.0,2024-11-30,19630.0,Tier 3
